,eid,EPS
586,2-s2.0-84991079644,0
587,2-s2.0-85029712339,0
588,2-s2.0-84965036487,0
589,2-s2.0-85021701261,0
590,2-s2.0-85016429289,0
591,2-s2.0-85008721589,0
592,2-s2.0-84940177218,0
593,2-s2.0-85014110978,0
594,2-s2.0-85027955099,0
595,2-s2.0-85009910395,0
596,2-s2.0-85008481831,0
597,2-s2.0-84997611014,0
598,2-s2.0-85006415928,0
599,2-s2.0-85029535906,0
600,2-s2.0-85028235927,0
601,2-s2.0-85025610892,0
602,2-s2.0-85058690710,0
603,2-s2.0-85016565612,1
604,2-s2.0-85016390575,0
605,2-s2.0-85014440480,0
606,2-s2.0-85012108007,0
607,2-s2.0-85008352580,0
608,2-s2.0-85007480248,0
609,2-s2.0-84996957331,0
610,2-s2.0-84991372855,0
611,2-s2.0-84959104633,0
612,2-s2.0-85000702146,0
613,2-s2.0-85000461141,0
614,2-s2.0-85008158331,0
615,2-s2.0-85006409706,1
616,2-s2.0-84963745998,0
617,2-s2.0-84957549224,0
618,2-s2.0-84952359825,0
619,2-s2.0-85078592605,1
620,2-s2.0-84962316148,0
621,2-s2.0-84959257177,0
622,2-s2.0-84959218230,0
623,2-s2.0-84961859508,0
624,2-s2.0-84962300674,0
625,2-s2.0-84953744802,0
626,2-s2.0-84950243544,1
627,2-s2.0-84948188386,1
628,2-s2.0-84976512544,1
629,2-s2.0-85042156446,1
630,2-s2.0-84947290987,1
631,2-s2.0-84949646539,0
632,2-s2.0-84942057811,0
633,2-s2.0-84933556051,0
634,2-s2.0-84939432017,0
635,2-s2.0-84980315848,0
636,2-s2.0-84940175578,0
637,2-s2.0-84924765717,0
638,2-s2.0-84930382809,0
639,2-s2.0-84936985194,0
640,2-s2.0-84937116207,0
641,2-s2.0-84937640425,1
642,2-s2.0-84930864923,0
643,2-s2.0-84927909923,0
644,2-s2.0-84927748827,0
645,2-s2.0-84923086486,1
646,2-s2.0-84921999900,0
647,2-s2.0-84971482798,0
648,2-s2.0-84949119055,0
649,2-s2.0-85039159703,0
650,2-s2.0-84910066272,0
651,2-s2.0-84919723187,0
652,2-s2.0-84922370548,1
653,2-s2.0-84906715196,0
654,2-s2.0-84890845328,0
655,2-s2.0-84983232269,0
656,2-s2.0-84872517879,1
657,2-s2.0-84907362066,0
658,2-s2.0-84903450257,0
659,2-s2.0-85028518680,0
660,2-s2.0-84899006502,1
661,2-s2.0-84893402960,0
662,2-s2.0-84890221577,0
663,2-s2.0-84890161367,0
664,2-s2.0-84887188922,0
665,2-s2.0-84880327457,0
666,2-s2.0-85113838468,1
667,2-s2.0-84877126300,0
668,2-s2.0-85021741468,0
669,2-s2.0-84876673417,0
670,2-s2.0-84876325142,0
671,2-s2.0-84875222608,0
672,2-s2.0-84874408246,0
673,2-s2.0-85139249999,0
674,2-s2.0-84903166872,0
675,2-s2.0-84871464093,1
676,2-s2.0-84886587020,0
677,2-s2.0-84885795950,1
678,2-s2.0-84885443853,0
679,2-s2.0-84885046999,1
680,2-s2.0-84877828781,0
681,2-s2.0-84876196398,1
682,2-s2.0-84874335506,0
683,2-s2.0-84871763590,0
684,2-s2.0-84871232104,1
685,2-s2.0-84868206704,0
686,2-s2.0-85126396700,1
687,2-s2.0-84861225751,0
688,2-s2.0-84860916496,0
689,2-s2.0-84873862548,0
690,2-s2.0-84859570324,0
691,2-s2.0-84857032120,0
692,2-s2.0-84859195629,0
693,2-s2.0-84862253419,0
694,2-s2.0-84859099983,0
695,2-s2.0-80052781043,0
696,2-s2.0-79957439604,0
697,2-s2.0-79951642426,0
698,2-s2.0-79851506650,0
699,2-s2.0-84886778439,0
700,2-s2.0-80054033962,0
701,2-s2.0-84864033848,0
702,2-s2.0-78649261526,0
703,2-s2.0-79953224579,0
704,2-s2.0-77952090415,1
705,2-s2.0-77955231997,0
706,2-s2.0-67651027603,0
707,2-s2.0-65549087164,0
708,2-s2.0-63149113306,0
709,2-s2.0-63449089699,0
710,2-s2.0-70349679078,0
711,2-s2.0-58549110419,1
712,2-s2.0-40349089088,0
713,2-s2.0-51449084869,1
714,2-s2.0-34249693032,1
715,2-s2.0-34147189640,0
716,2-s2.0-33947212915,0
717,2-s2.0-33749261112,0
718,2-s2.0-84878404241,0
719,2-s2.0-34047232179,0
720,2-s2.0-34147178514,0
721,2-s2.0-33646778829,1
722,2-s2.0-26844446363,0
723,2-s2.0-20844444323,0
724,2-s2.0-25144457651,0
725,2-s2.0-9744254431,0
726,2-s2.0-1842784526,0
727,2-s2.0-0141889607,0
728,2-s2.0-0036070555,0
729,2-s2.0-0035254971,0
730,2-s2.0-0034425738,0
731,2-s2.0-0034209925,0
732,2-s2.0-0032786138,0
733,2-s2.0-0344210386,0
734,2-s2.0-0030251220,0
735,2-s2.0-0030092692,0
736,2-s2.0-0029667933,0
737,2-s2.0-0029416404,0
738,2-s2.0-0029488431,0
739,2-s2.0-85140057905,0
740,2-s2.0-85140075125,0
741,2-s2.0-85139368093,0
742,2-s2.0-85139371839,0
743,2-s2.0-35348814301,1
744,2-s2.0-85137040147,0
745,2-s2.0-85139072900,0
746,2-s2.0-85140138764,0
747,2-s2.0-85140062082,0
748,2-s2.0-85139595678,0
749,2-s2.0-85132546192,0
750,2-s2.0-67349272009,0
751,2-s2.0-84859295391,1
752,2-s2.0-85131735322,0
753,2-s2.0-85063958781,0
754,2-s2.0-0034991588,0
755,2-s2.0-85134883759,0
756,2-s2.0-77649193170,0
757,2-s2.0-85130189097,0
758,2-s2.0-85139811587,0
759,2-s2.0-79955664178,1
760,2-s2.0-85138030417,0
761,2-s2.0-78449239545,0
762,2-s2.0-78651381621,0
763,2-s2.0-48749115215,0
764,2-s2.0-85139777028,0
765,2-s2.0-85136099704,0
766,2-s2.0-28344443385,0
767,2-s2.0-85134250854,0
768,2-s2.0-85137885719,0
769,2-s2.0-85137546841,0
770,2-s2.0-85131367347,0
771,2-s2.0-85040781803,1
772,2-s2.0-84978850717,0
773,2-s2.0-85044239456,0
774,2-s2.0-38549168651,0
775,2-s2.0-85130109503,0
776,2-s2.0-84993983155,1
777,2-s2.0-85132858183,0
778,2-s2.0-85133654874,0
779,2-s2.0-28344456624,0
780,2-s2.0-85129238774,0
781,2-s2.0-85135890585,0
782,2-s2.0-85135443398,0
783,2-s2.0-85126013561,0
784,2-s2.0-85131050033,0
785,2-s2.0-80053550217,1
786,2-s2.0-85130785161,0
787,2-s2.0-84880001648,0
788,2-s2.0-85122384883,0
789,2-s2.0-85128238428,0
790,2-s2.0-85125303420,0
791,2-s2.0-77954625175,1
792,2-s2.0-85123871242,0
793,2-s2.0-85118609491,0
794,2-s2.0-85137071401,0
795,2-s2.0-85133601951,0
796,2-s2.0-85113760436,0
797,2-s2.0-85114033178,0
798,2-s2.0-85135521153,0
799,2-s2.0-85111218554,0
800,2-s2.0-85077031576,1
801,2-s2.0-85112569256,0
802,2-s2.0-85114021461,0
803,2-s2.0-85107379351,0
804,2-s2.0-85099632482,0
805,2-s2.0-85098993501,0
806,2-s2.0-84954285345,1
807,2-s2.0-85096484436,0
808,2-s2.0-85098090112,0
809,2-s2.0-85098460577,0
810,2-s2.0-85089859130,0
811,2-s2.0-85090323951,0
812,2-s2.0-85089099303,0
813,2-s2.0-35448967791,0
814,2-s2.0-85073747395,1
815,2-s2.0-85129423106,0
816,2-s2.0-85088261239,0
817,2-s2.0-85076909354,0
818,2-s2.0-84861847096,1
819,2-s2.0-85081649683,0
820,2-s2.0-85083682490,0
821,2-s2.0-85081695970,0
822,2-s2.0-85072289737,0
823,2-s2.0-85066433974,0
824,2-s2.0-85051815679,1
825,2-s2.0-85060652748,0
826,2-s2.0-85059740287,0
827,2-s2.0-85055646411,0
828,2-s2.0-52449110028,0
829,2-s2.0-85029168119,1
830,2-s2.0-85065475509,0
831,2-s2.0-85063423320,0
832,2-s2.0-85093533859,0
