eid,EPS,doi
2-s2.0-85122960530,0,
2-s2.0-85130260996,0,
2-s2.0-85121904146,0,
2-s2.0-85053353564,0,
2-s2.0-67651158853,0,
2-s2.0-85129683226,0,
2-s2.0-85121348614,0,
2-s2.0-84919782106,0,
2-s2.0-85117737192,0,
2-s2.0-85112540462,0,
2-s2.0-85125111139,0,
2-s2.0-55949114100,0,
2-s2.0-85125096965,0,
2-s2.0-79952736919,0,
2-s2.0-85123956586,0,
2-s2.0-84867681920,0,
2-s2.0-80855132648,0,
2-s2.0-84927668209,0,
2-s2.0-84901343105,0,
2-s2.0-85119413689,0,
2-s2.0-84890102408,0,
2-s2.0-84860431262,0,
2-s2.0-80052063046,0,
2-s2.0-34548774488,0,
2-s2.0-85114317426,0,
2-s2.0-85105462347,0,
2-s2.0-84874402677,0,
2-s2.0-85140270517,0,
2-s2.0-60749127573,0,
2-s2.0-35748974837,0,
2-s2.0-84897028472,0,
2-s2.0-84912091509,0,
2-s2.0-85083366870,0,
2-s2.0-84952883216,0,
2-s2.0-58749110304,0,
2-s2.0-64249153234,0,
2-s2.0-85137220476,0,
2-s2.0-0036841493,0,
2-s2.0-85131556197,0,
2-s2.0-85131074115,0,
2-s2.0-85081366427,0,
2-s2.0-84905251538,0,
2-s2.0-85002170901,0,
2-s2.0-85021824893,0,
2-s2.0-85125957215,0,
2-s2.0-84979699685,0,
2-s2.0-84870056676,0,
2-s2.0-85123636932,0,
2-s2.0-85123166507,0,
2-s2.0-85131693069,0,
2-s2.0-85056560239,0,
2-s2.0-85123733792,0,
2-s2.0-85065708446,0,
2-s2.0-85027919895,0,
2-s2.0-85121458669,0,
2-s2.0-85120848317,0,
2-s2.0-85119171142,0,
2-s2.0-85132836295,0,
2-s2.0-1642602280,0,
2-s2.0-79956279788,0,
2-s2.0-85115765822,0,
2-s2.0-85103678933,0,
2-s2.0-85107409011,0,
2-s2.0-85105042555,0,
2-s2.0-85049005601,0,
2-s2.0-84864587774,0,
2-s2.0-85125752753,0,
2-s2.0-80052033784,0,
2-s2.0-81555219216,0,
2-s2.0-85120918984,0,
2-s2.0-85122700820,0,
2-s2.0-85126132607,0,
2-s2.0-85121656664,0,
2-s2.0-84978197314,0,
2-s2.0-84903782914,0,
2-s2.0-84856760875,0,
2-s2.0-85044163321,0,
2-s2.0-84908303449,0,
2-s2.0-85125662894,0,
2-s2.0-84881171918,0,
2-s2.0-84877333161,0,
2-s2.0-77957698342,0,
2-s2.0-85123378503,0,
2-s2.0-85115959742,0,
2-s2.0-85134793134,0,
2-s2.0-85059040177,0,
2-s2.0-84992021868,0,
2-s2.0-85109308563,0,
2-s2.0-84923309009,0,
2-s2.0-84876886281,0,
2-s2.0-84883133215,0,
2-s2.0-77958538627,0,
2-s2.0-84984861288,0,
2-s2.0-84893767604,0,
2-s2.0-85121451784,0,
2-s2.0-85123720227,0,
2-s2.0-85123019084,0,
2-s2.0-85123700890,0,
2-s2.0-85122240650,0,
2-s2.0-85117605121,0,
2-s2.0-85025692542,0,
2-s2.0-85011961106,0,
2-s2.0-85136713072,0,
2-s2.0-85037612780,0,
2-s2.0-0033180310,0,
2-s2.0-85063741913,0,
2-s2.0-78649348280,0,
2-s2.0-85113958827,0,
2-s2.0-85108139275,0,
2-s2.0-84945441892,0,
2-s2.0-84858747891,0,
2-s2.0-85117736316,0,
2-s2.0-85132746565,0,
2-s2.0-84954048936,0,
2-s2.0-84958770309,0,
2-s2.0-85118579949,0,
2-s2.0-85082488859,0,
2-s2.0-84889653198,0,
2-s2.0-84860918456,0,
2-s2.0-84856022161,0,
2-s2.0-85115651431,0,
2-s2.0-84895756147,0,
2-s2.0-85106550254,0,
2-s2.0-85105960265,0,
2-s2.0-85116038345,0,
2-s2.0-85122249523,0,
2-s2.0-85051659652,0,
2-s2.0-84979665390,0,
2-s2.0-84964937329,0,
2-s2.0-77953047244,0,
2-s2.0-77649272564,0,
2-s2.0-85111501625,0,
2-s2.0-84939979200,0,
2-s2.0-29144433324,0,
2-s2.0-85075735521,0,
2-s2.0-85109567562,0,
2-s2.0-85119000764,0,
